,recipe_name,cuisine,diet
538,Aloo and Til Sabzi,Indian,Vegetarian
539,Egg Bhurji Roll for Kids,Indian,Kid-Friendly
540,Aloo Matar Tehri (Matar Vadi Wale Chawal),Indian,Vegetarian
541,Sukha Anda Masala,Indian,Non-Vegetarian
542,Indian Pomfret Curry,Indian,Non-Vegetarian
543,Al-Poshe Pakora (Pumpkin Flower Pakora),Indian,Vegetarian
544,Cabbage Adai,Indian,Low-Calorie
545,Tasty Vadai,Indian,Vegetarian
546,Apple Sandesh,Indian,Kid-Friendly
547,Idli Pakoda,Indian,Vegetarian
548,Cream Chicken,Indian,Non-Vegetarian
549,Sri Lankan Fish Stew,Sri-Lankan,Non-Vegetarian
550,Crunchy Hawaian Chicken wrap,Continental,Non-Vegetarian
551,Aloo Gobi Fry,Indian,Kid-Friendly
552,Achaari bhindi,Indian,Vegetarian
553,Almond Chikki,Indian,Festive
554,Aripathiri (Rice flour chapatti),Indian,Vegetarian
555,Andhra Pudi,Indian,Vegetarian
556,Dal Vada Recipe,Indian,Kid-Friendly
557,Arai keerai charu,Indian,Vegetarian
558,Apple Scones,Continental,Kid-Friendly
559,7 cup cake (besan katli),Indian,Vegetarian
560,Dahi Aloo,Indian,Vegetarian
561,Holiday Fudge,Continental,Festive
562,Cheesy Orange Floats,Indian,Kid-Friendly
563,Vellai Dosai,Indian,Vegetarian
564,Vegetable Curry,Indian,Vegetarian
565,Apple Sauce,Continental,Vegetarian
566,Arabic Shrimps with Cumin,Arab,Non-Vegetarian
567,Karaikudi Keerai Kootu,Indian,Vegetarian
568,Til Gud Chappati,Indian,Kid-Friendly
569,Gujarati Gevar,Indian,Festive
570,Aloo Dhania Parathas,Indian,Vegetarian
571,4 Minute Dosa,Indian,Kid-Friendly
572,Gaajar ka kofta,Indian,Vegetarian
573,Apple and Raisin Salad,Indian,Vegetarian
574,Indian Sorra Puttu,Indian,Non-Vegetarian
575,Vanilla Flavoured Caramel Custard,Continental,Festive
576,Sarson Saag,Indian,Vegetarian
577,Aloo Kichidi,Indian,Vegetarian
578,Capsicum Curry with Peanuts,Indian,Vegetarian
579,Sweet Potato Kheer for Festivals,Indian,Festive
580,Arbi seekh kabab,Indian,Non-Vegetarian
581,Arisi Upma Kozhakattai,Indian,Vegetarian
582,Akbari Paneeer,Indian,Vegetarian
583,5 Minute Rasam,Indian,Vegetarian
584,Aloo Cheese Cutlets,Indian,Vegetarian
585,Apple Gojju,Indian,Vegetarian
586,Anglo-Indian Mince Ball Curry,Anglo-Indian,Non-Vegetarian
587,Veg kurma with coconut,Indian,Kid-Friendly
588,Aloo Ka Achar,Indian,Vegetarian
589,Apple Cinnamon Jam,Indian,Kid-Friendly
590,Ragi roti,Indian,Vegetarian
591,Karivepilai Chutney,Indian,Vegetarian
592,Apple chutney,Indian,Vegetarian
593,Drumstick Curry,Indian,Non-Vegetarian
594,American Fruit Salad,American,Vegetarian
595,Crab masala,Indian,Non-Vegetarian
596,Fig ice cream for Kids,Indian,Kid-Friendly
597,Chilled Mango and Peach Cream,Continental,Vegetarian
598,Indian Prawn vindaloo,Indian,Non-Vegetarian
599,Apple Sauce Cake,American,Kid-Friendly
600,Onion Curry with coconut,Indian,Vegetarian
601,Simple eggplant curry,Indian,Kid-Friendly
602,Anglo-Indian Brinjal Curry,Anglo-Indian,Vegetarian
603,Indian Mushroom soup,Indian,Vegetarian
604,Tangy Cabbage Vada with coconut,Indian,Kid-Friendly
605,Eggnog,English,Festive
606,Apple Halwa with Dry Fruits,Indian,Festive
607,Andhra Chicken Fry,Indian,Non-Vegetarian
608,Alu-Poha Chatpata,Indian,Vegetarian
609,Almond Flavored Carrot Burfi,Indian,Festive
610,American Rolls,American,Non-Vegetarian
611,Indian Dalsa,Indian,Vegetarian
612,Aamras,Indian,Vegetarian
613,Aloo Mutter with tomatoes,Indian,Vegetarian
614,Arayes,Lebanese,Non-Vegetarian
615,Aloo Methi,Indian,Kid-Friendly
616,Arisi Payaru Sundal,Indian,High-Protein
617,Aloo Poori,Indian,Vegetarian
618,Apple and Apricot Pudding,English,Kid-Friendly
619,Jackfruit halwa for Kids,Indian,Kid-Friendly
620,Healthy Mulligatawny Soup,Anglo-Indian,Vegetarian
621,Aloo (Potato) Tikki,Indian,Vegetarian
622,Almond caramel float,Continental,Festive
623,Apple strudel,Continental,Vegetarian
624,Achari Prawn Pulao,Indian,Festive
625,Apple Oats Crumb,Continental,Kid-Friendly
626,Appam with coconut water,Indian,Kid-Friendly
627,Rice Flour Ghee Roti,Indian,Vegetarian
628,Chocolate Custard,Anglo-Indian,Festive
629,Aloo Noodle Cutlet,Indian,Vegetarian
630,Ande Ka Salan,Indian,Non-Vegetarian
631,Mixed vegetable Saagu,Indian,Vegetarian
632,Coconut Milk Rice,Indian,Vegetarian
633,Appam - Hoppers,Sri-Lankan,Vegetarian
634,Khoya,Indian,Kid-Friendly
635,Festive Sakkarai Pongal,Indian,Festive
636,American Lemon Cheesecake,American,Festive
637,Sweet Pongal for Festivals,Indian,Kid-Friendly
638,Hawaian Salad,American,Vegetarian
639,Mutton Uppu Kandam,Indian,Non-Vegetarian
640,Carrot Bajji,Indian,Kid-Friendly
641,Chilli Chicken,Indian,Non-Vegetarian
642,Khoya for Kids,Indian,Kid-Friendly
643,Chuck Burger,American,Non-Vegetarian
644,Continental Banana Bread,Continental,Vegetarian
645,Alu Mayonnaise,Indian,Vegetarian
646,Anjeer Almond ki Katli,Indian,Kid-Friendly
647,American Chopsuey,American,Kid-Friendly
648,Aloo Masaledar,Indian,Vegetarian
649,Ven Pongal,Indian,Festive
650,Amritsari Fish,Indian,Non-Vegetarian
651,Adhirasam,Indian,Festive
652,Aloo Baingan Curry,Indian,Vegetarian
653,Apple crisp,Indian,Kid-Friendly
654,Golden Sajjappa,Indian,Festive
655,Cardamom Flavoured Banana Lassi,Indian,Kid-Friendly
656,Arisi maavu roti,Indian,Vegetarian
657,Alo jilo,Indian,Vegetarian
658,Anchovies Sambal,Malaysian,Non-Vegetarian
659,Achari Chicken,Indian,Non-Vegetarian
660,Appams,Indian,Vegetarian
661,Aam Johra,Indian,Festive
662,Chilli Paneer,Indian,Vegetarian
663,Aam Ka Achar,Indian,Vegetarian
664,Amchoor Chutney,Indian,Festive
665,Cauliflower Rice,Indian,Vegetarian
666,Paal Payasam,Indian,Kid-Friendly
667,Appam with mashed bananas,Indian,Kid-Friendly
668,Ajwain Ki Chai,Indian,Vegetarian
669,Spicy Vegetable and Lentils Pulao,Indian,Vegetarian
670,Golden Macaroni Pakoda,Indian,Vegetarian
671,Appe,Indian,Festive
672,Almond Nescafe Cookies,Continental,Kid-Friendly
673,Angel Cake dessert,Continental,Festive
674,Curry Leaves Chutney,Indian,Vegetarian
675,Pineapple Stuffed Triangles,Indian,Vegetarian
676,Arabic Shawarma,Arab,Non-Vegetarian
677,Apple Cup Cakes,Continental,Kid-Friendly
678,Choco ice cream,Indian,Kid-Friendly
679,Goondh Pak for kids,Indian,Kid-Friendly
680,Lemon Pickle,Indian,Vegetarian
681,Easter Egg Salad,Continental,Festive
682,Aloo - Papad,Indian,Vegetarian
683,Adharak ki chutney,Indian,Vegetarian
684,Aanapakaya Payasam,Indian,Festive
685,Festive Besan Mysore Pak,Indian,Festive
686,Aloogadde Palya,Indian,Vegetarian
687,American Chop Suey,Chinese,Non-Vegetarian
688,Anglo Indian Vegetable Patties,Anglo-Indian,Non-Vegetarian
689,Muglai Paneer,Indian,Vegetarian
690,Agathi keerai curry,Indian,Vegetarian
691,Almond Vanilla Custard Ice Cream - Kulfi,Indian,Kid-Friendly
692,Anarkali,Indian,Vegetarian
693,Aloo Parantha,Indian,Kid-Friendly
694,Akara Vadisal,Indian,Kid-Friendly
695,Amti (Maharashtrian Dal),Indian,Vegetarian
696,Appetising Salad,Continental,Vegetarian
697,Kadalai Curry,Indian,Vegetarian
698,Aatte Ke Laddoo,Indian,Festive
699,Apple Cheese Sandwich,Continental,Kid-Friendly
700,Semolina Kesari with Pineapple,Indian,Festive
701,Suji Bread in Malai,Indian,Vegetarian
702,3-Berry Lemon Trifle,American,Kid-Friendly
703,Cheese Bacon Omelette,Continental,Non-Vegetarian
704,Poori Payasam,Indian,Kid-Friendly
705,Almond tabbouleh,Arab,Vegetarian
706,Egg Batura,Indian,Non-Vegetarian
707,Veg Kurma,Indian,Vegetarian
708,Alu bhath,Indian,Vegetarian
709,Alleppey Fish Curry,Indian,Non-Vegetarian
710,Afghani chicken korma,Afghani,Non-Vegetarian
711,Agar Agar pudding,Indian,Kid-Friendly
712,Amritsari laccha paratha,Indian,Vegetarian
713,Aloo Dahi Wada,Indian,Kid-Friendly
714,Almond Burfi,Indian,Kid-Friendly
715,Anglo-Indian Pepper Water,Anglo-Indian,Vegetarian
716,Almorth (Mixed Meat and vegetable Stew),Anglo-Indian,Non-Vegetarian
717,Amla rice,Indian,Vegetarian
718,American Corn Curry,Indo-American,Vegetarian
719,Chickpeas curry,Indian,Vegetarian
720,Aleti Paleti,Indian,Festive
721,Aam Dal,Indian,Vegetarian
722,Tamarind rasam,Indian,Vegetarian
723,Arab Falafel,Arab,Vegetarian
724,Aloo Pauwa (Poha),Indian,Vegetarian
725,Apple and date porridge,Indian,Vegetarian
726,Aloo Tikki (Potato Cutlets),Indian,Vegetarian
727,Continental Bread Sticks,Continental,Vegetarian
728,Fish Roll,Continental,Non-Vegetarian
729,Low Fat Diet Salad,Continental,Low-Fat
730,Spinach Dal with Tomatoes,Indian,Vegetarian
731,Tangy Spinach Gravy,Indian,Vegetarian
732,Arabic Breakfast,Middle-East,Vegetarian
733,Tangy Eggplant Gotsu,Indian,Vegetarian
734,Anglo-Indian hot masala chops,Anglo-Indian,Non-Vegetarian
735,Aloo Sev,Indian,Vegetarian
736,Apple Mint Tea,American,Low-Calorie
737,Aam ka Panna,Indian,Vegetarian
738,Apple Chocolate Smoothie,Indian,Vegetarian
739,Palak Sambar,Indian,Vegetarian
740,"Apple, Orange and Celery Blend",Indian,Kid-Friendly
741,Aamrakhand,Indian,Kid-Friendly
742,Aam ka Ras,Indian,Kid-Friendly
743,Punjabi Murg Makhani,Indian,Non-Vegetarian
744,Amaretto Cake,Continental,Non-Vegetarian
745,Chinese Prawn Toast,Chinese,Non-Vegetarian
746,Traditional Christmas Cake,American,Festive
747,Leftover Idli Pakoda,Indian,Vegetarian
748,Chilled Strawberry Souffle,Indian,Vegetarian
749,Indian Patholi,Indian,Festive
750,Ajwain Lachha Paratha,Indian,Kid-Friendly
751,Hawaian rolls,Indian,Vegetarian
752,Afghan Kadhai,Afghani,Non-Vegetarian
753,Apple Pie for Easter,Continental,Festive
754,American Stuffed tomatoes,American,Vegetarian
755,Peas Pulav,Indian,Vegetarian
756,Green Peas Pulav,Indian,Kid-Friendly
757,Butter Chicken,Indian,Non-Vegetarian
758,Anglo-Indian Mince Paste Sandwiches,Anglo-Indian,Non-Vegetarian
759,Semolina halwa with nuts,Indian,Kid-Friendly
760,African Chicken Wings,African,Non-Vegetarian
761,Mango Mawa Barfi,Indian,Kid-Friendly
762,Sesame Chicken Salad,Indian,Non-Vegetarian
763,Amritsari Kulcha,Indian,Vegetarian
764,Cheese Potato Puris,Indian,Kid-Friendly
765,Ada Pradhaman,Indian,Festive
766,Apple Beet Cucumber Juice,Indian,Vegetarian
767,Almond Cashew Halwa,Indian,Festive
768,Doi potol,Indian,Vegetarian
769,Anglo- Indian Brain Cutlets,Anglo-Indian,Non-Vegetarian
770,Apple bulghar,Indian,Vegetarian
771,Plain Egg Salad,Indian,Non-Vegetarian
772,Akki Unde Kadubu,Indian,Vegetarian
773,Apple Wine,Anglo-Indian,Festive
774,Arborio Rice in Buttermilk,Indian,Vegetarian
775,Apple Milkshake,Indian,Vegetarian
776,Tangy Groundnut Thokku,Indian,Vegetarian
777,Mayonnaise,Continental,Non-Vegetarian
778,Manga Kadala,Indian,Vegetarian
779,Ambat bhat,Indian,Vegetarian
780,Apricot Summer Sundae,American,Kid-Friendly
781,Almond Carrot Kheer,Indian,Festive
782,Asian Noodles,Asian,Vegetarian
783,Vanilla Lassi,Indian,Vegetarian
784,Macaroni Pakoda,Indian,Kid-Friendly
785,Appetising Jeera Goli,Indian,Vegetarian
786,Apple Bajji,Indian,Kid-Friendly
787,Aaoshi Smoked Pork with Fermented Soya Bean,Indian,Non-Vegetarian
788,Sweet Rava Idly with Jaggery,Indian,Kid-Friendly
789,Alchikeri,Indian,Vegetarian
790,Gaajar chawal,Indian,Vegetarian
791,Apple Jam,Continental,Kid-Friendly
792,Easy Microwave Carrot Halwa,Indian,Kid-Friendly
793,Cabbage Pakodi ki subzi,Indian,Vegetarian
794,Capsicum Masala Curry,Indian,Vegetarian
795,Mutton chops with Indian Spices,Indian,Non-Vegetarian
796,Aamai Vadai,Indian,Vegetarian
797,Anglo-Indian Savoury Mince Cutlets,Anglo-Indian,Non-Vegetarian
798,Hot Sweet Sour Paste,Indian,Vegetarian
799,All India Kootu,Indian,Vegetarian
800,Marinated Chicken Tikka Masala,Indian,Non-Vegetarian
801,Appam Batter,Indian,Vegetarian
802,Kali Mirch Murg,Indian,Non-Vegetarian
803,Chini Hakka Noodles,Chinese,Kid-Friendly
804,Chicken with Coriander and Mint,Indian,Non-Vegetarian
805,3 Flour Sukhadi,Indian,Festive
806,Alisa (Cracked Wheat With Mutton Porridge),Indian,Non-Vegetarian
807,Andhra Chicken,Indian,Non-Vegetarian
808,American Short Bread Cookies,American,Kid-Friendly
809,Eggless Cake,Indian,Kid-Friendly
810,American Hot Chicken Wings,American,Non-Vegetarian
811,Amritphal,Indian,Vegetarian
812,Fish in Buttermilk Masala,Indian,Non-Vegetarian
813,Aloo Moong Dal Karara Wala,Indian,High-Protein
814,Inji oorugai,Indian,Vegetarian
815,Alu Paratha,Indian,Vegetarian
816,Paneer in Tomato Gravy,Indian,Vegetarian
817,Khus-Khus Naan,Indian,Vegetarian
818,Chicken in Vinegar,Indian,Non-Vegetarian
819,Kabuli,Asian,Kid-Friendly
820,Andhra Stuffed Brinjal,Indian,Vegetarian
821,Kabuli Chana with Potatoes,Indian,Vegetarian
822,American Chocolate Vanilla Cake,American,Festive
823,Poosanikai ( Ash Gourd) kootu,Indian,Vegetarian
824,Aloo Gobi Masala,Indian,Vegetarian
825,Ajwain Poori,Indian,Vegetarian
826,Hawaii Toast,Indian,Vegetarian
827,Andhra Style Chilli Chicken,Indian,Non-Vegetarian
828,1-2-3 Chilli Chicken,Indian,Non-Vegetarian
829,Mango Pickle for All,Indian,Kid-Friendly
830,Appetising Gobi Manchurian,Chinese,Kid-Friendly
831,Rice Flour Pindi,Indian,Kid-Friendly
832,Hari Mirch ka Hara Halwa,Indian,Vegetarian
833,Til aur Gud ka Chappati,Indian,Vegetarian
834,Andhra Palli Chutney,Indian,Vegetarian
835,Apple and Apricot Sandesh Pudding,Indian,Vegetarian
836,American Spinach Pie,American,Kid-Friendly
837,Hawaian Ginger Saffron Ice Cream,Continental,Vegetarian
838,Amarantha Stems and Jack Fruit Seed Sukke,Indian,Vegetarian
839,Aate Ki Pinni,Indian,Vegetarian
840,Tomato Side Dish,Indian,Vegetarian
841,Almond Halwa,Indian,Vegetarian
842,Amritsari Chole,Indian,Vegetarian
843,Apple Cheddar Crumble,American,Kid-Friendly
844,Anglo-Indian Pork Vindaloo,Anglo-Indian,Non-Vegetarian
845,Almond Date Rolls,Indian,Kid-Friendly
846,Palak Paneer with Tomatoes,Indian,Vegetarian
847,Tandoori Masala Chicken Biryani,Indian,Non-Vegetarian
848,Caramel Pudding for Kids,Anglo-Indian,Kid-Friendly
849,Andhra Kadhi,Indian,Vegetarian
850,Almond Cappuccino,Continental,Vegetarian
851,Anjeer Slices,Indian,Kid-Friendly
852,Achari Gosht Aur Hari Mirch,Pakistani,Non-Vegetarian
853,Kulkuls,Indian,Kid-Friendly
854,Aloo Bharta,Indian,Vegetarian
855,American Strawberry Mousse,American,Kid-Friendly
856,Indian Shukto,Indian,Vegetarian
857,Amla Pickle,Indian,Vegetarian
858,Sweet Potato Pone with Eggs,Indian,Festive
859,Jeera Pulao with peas,Indian,Vegetarian
860,Amla ka Pickle,Indian,Vegetarian
861,Aniseed Sherbet,Indian,Vegetarian
862,Stuffed Ghrekins,Indian,Vegetarian
863,Healthy Ragi Dosa,Indian,Vegetarian
864,Healthy Ragi Roti,Indian,Vegetarian
865,Acquacotta,Italian,Non-Vegetarian
866,5 Cup Sweet,Indian,Festive
867,American Salad in Indian Style,Indo-American,Vegetarian
868,Almond Chocolate Fudge,Anglo-Indian,Festive
869,Aaloo-Baingan Mash,Indian,Vegetarian
870,Salami Cocktail,Indian,Festive
871,Apricot Bars,Indian,Festive
872,Aloo Mutter,Indian,Vegetarian
873,Aloo Baigain (Potato and Brinjal),Indian,Vegetarian
874,Apple compote,American,Kid-Friendly
875,Chinese Green Onion Pancakes,Chinese,Non-Vegetarian
876,American Butter Cream,American,Vegetarian
877,Apple Cider Doughnut,Continental,Vegetarian
878,Arbi-Methi Kadhi,Indian,Vegan
879,Apple Banana Carrot (ABC) Halwa,Indian,Kid-Friendly
880,Almond Chocolate Pudding,Indian,Vegetarian
881,Aattu Kaal Soup (Paaya),Indian,Non-Vegetarian
882,Amritsari Baigan,Indian,Vegetarian
883,Vada roll,Indian,Kid-Friendly
884,Arisa Pitha,Indian,Kid-Friendly
885,Apple Choco Shake,Indian,Kid-Friendly
886,Chilled Shrikhand,Indian,Kid-Friendly
887,Aloo ka chow chow,Indian,Vegetarian
888,Chilled Strawberry Cake,Continental,Vegetarian
889,Adrak Masala Chai,Indian,Vegetarian
890,Besan Gatte ki Sabzi,Indian,Vegetarian
891,Almond and Pistachio Dessert,Continental,Kid-Friendly
892,Aamti,Indian,Vegetarian
893,Apple Roll with Vanilla Cream,Indian,Kid-Friendly
894,Aloo Karela Subzi,Indian,Vegetarian
895,Almond Icing,Anglo-Indian,Festive
896,Stuffed Tomatoes,Indian,Vegetarian
897,Aloo Tuk,Indian,Festive
898,Alpine Muesli with Red and Green Grapes,American,Vegetarian
899,String beans curry,Indian,Vegetarian
900,Almond and Orange Rava Kesari,Indian,Festive
901,Arisium Paruppu,Indian,Vegetarian
902,Aloo chole,Indian,Vegetarian
903,Aloo Kheer,Indian,Vegetarian
904,Aloo Beans,Indian,Vegetarian
905,Almond Custard,Anglo-Indian,Festive
906,Coconut Milk Dosas,Indian,Vegetarian
907,Egg Masala Curry,Indian,Non-Vegetarian
908,Chicken with Asaparagus Salad,American,Non-Vegetarian
909,Achar Timun,Malaysian,Vegetarian
910,Aloo-Pulses Kichdi,Indian,Vegetarian
911,Angoor Basundi,Indian,Kid-Friendly
912,Apple Custard Pie,American,Kid-Friendly
913,Continental Pineapple Souffle,Continental,Kid-Friendly
914,Kootu,Indian,Vegetarian
915,Aloo matar,Indian,Vegetarian
916,Quick Coconut Burfi with Ghee,Indian,Kid-Friendly
917,Eggless Banana Cake with Cinnamon,Indian,Kid-Friendly
918,Apple Mor Kuzhambu,Indian,Vegetarian
919,Apple Tokku,Indian,Vegetarian
920,Achaari Mushroom and Peas Pulav,Indian,Vegetarian
921,Spinach Curd Raita,Indian,Vegetarian
922,Almond Butter crunch Candy,American,Festive
923,Shrimp Vada,Indian,Non-Vegetarian
924,Walnut Chutney with curd,Indian,Vegetarian
925,Afghani Baingan,Indian,Vegetarian
926,Amrakand,Indian,Vegetarian
927,"Apple, Celery and Walnut Salad",Continental,Kid-Friendly
928,Grilled Meat Kofta,Indian,Non-Vegetarian
929,All Purpose Pooris,Indian,Vegetarian
930,Apple Country Chicken Thighs,Continental,Non-Vegetarian
931,Anarsa,Indian,Vegetarian
932,Paneer Methi,Indian,Vegetarian
933,Apple And Peanut Butter Wrap,Anglo-Indian,Vegetarian
934,Aloo Bonda,Indian,Vegetarian
935,Ande Ka Mitha,Indian,Non-Vegetarian
936,A Salute to the Tricolour: Cool Salad,Indian,Festive
937,Continental Egg Pudding,Continental,Festive
938,Appetising Shahi paneer,Indian,Vegetarian
939,Machi Biriyani,Indian,Festive
940,Andhra Pesarattu,Indian,Vegetarian
941,Clay pot Soya Bean Paneer,Chinese,Non-Vegetarian
942,Keema Kofta Biryani,Indian,Non-Vegetarian
943,Almond Nankathai,Indian,Festive
944,Anda Pav,Indian,Kid-Friendly
945,Mixed vegetable korma,Indian,Vegetarian
946,Soya Bean Paneer,Continental,Non-Vegetarian
947,Yummy Peas Pulao,Indian,Vegetarian
948,Aloo rasawalla,Indian,Vegetarian
949,Ajwain flavored roti,Indian,Kid-Friendly
950,Aloo Channa Ghessi,Indian,Vegetarian
951,Amritsari Chhole,Indian,Vegetarian
952,Chocolate Fudge Cake,Continental,Kid-Friendly
953,Anglo Indian Fish Croquettes,Anglo-Indian,Non-Vegetarian
954,Almond Cookies,American,Kid-Friendly
955,Almond Seera,Indian,Kid-Friendly
956,Karivepilai Sambar,Indian,Vegetarian
957,Indian Spicy Roti,Indian,Vegetarian
958,Mixed Veg Curry in Tomato gravy,Indian,Vegetarian
959,Apple Cream Delight,Continental,Kid-Friendly
960,American Strawberry Pie,American,Kid-Friendly
961,Apple Raita,Indian,Vegetarian
962,Aloo Samosas,Indian,Vegetarian
963,Indian Dal Makhni for All,Indian,Kid-Friendly
964,Moong Dal palak,Indian,Vegetarian
965,Caramel Pudding,Continental,Kid-Friendly
966,Golden Cabbage Potato Pakoda,Indian,Kid-Friendly
967,Aate Ke Ladoo,Indian,Vegetarian
968,Spicy Curry Leaf Aloo,Indian,Vegetarian
969,Mulinja Haaq (Greens of Kohlrabi),Indian,Vegetarian
970,Almond carrot grape smoothie,Indian,Vegetarian
971,Oats Upma,Indian,Kid-Friendly
972,Aloo Cucumber Curry,Indian,Vegetarian
973,Akki (Rice Flour) Roti,Indian,Vegetarian
974,Rich Mutton Biryani with Indian Spices,Indian,Non-Vegetarian
975,Christmas Fudge,Continental,Festive
976,Aam pora Shorbot,Indian,Vegetarian
977,Capers Dip,Indian,Kid-Friendly
978,Keerai Kootu,Indian,Vegetarian
979,Apple Banana Salad,Indian,Kid-Friendly
980,All fruit salad,Indian,Vegetarian
981,Christmas Rum And Raisin Cake,Anglo-Indian,Festive
982,Chilli Ginger Chicken,Indian,Non-Vegetarian
983,Star Fruit Preserve,Indian,Vegetarian
984,Mint Pulao with Potatoes,Indian,Vegetarian
985,Chicken Cutlet in white sauce,Continental,Non-Vegetarian
986,Machi Dhaniawala,Continental,Non-Vegetarian
987,Aate Ki Raab,Indian,Festive
988,Ajwain Water,Indian,Vegetarian
989,Chundole (Mutton Roast),Indian,Non-Vegetarian
990,Arbi Sabzi,Indian,Vegetarian
991,Machuri,Indian,Kid-Friendly
992,Anardhana Churan,Indian,Vegetarian
993,Apple cake,American,Vegetarian
994,Amma's Khichdi,Indian,Kid-Friendly
995,Curry Leaf Spiced Potatoes,Indian,Vegetarian
996,Egg Coconut Masala Curry,Indian,Non-Vegetarian
997,Peas vada,Indian,Kid-Friendly
998,Anzac Biscuits with Rolled Oats,Indian,Kid-Friendly
999,Cheese Mini Puri Sandwiches,Indian,Kid-Friendly
1000,Aloo Omelette,Indian,Non-Vegetarian
1001,Achaari Aloo,Indian,Vegetarian
1002,Brinjal Perugu Pachadi,Indian,Vegetarian
1003,Gobi (Cauliflower) ka kheema,Indian,Vegetarian
1004,Green Onion Pancakes,Indian,Non-Vegetarian
1005,Anglo-Indian Beef And Vegetable Stew,Anglo-Indian,Non-Vegetarian
1006,Agra Petha,Indian,Kid-Friendly
1007,A Quick and Simple Mutton Lamb Curry,Anglo-Indian,Non-Vegetarian
1008,Apricot and custard delight,American,Kid-Friendly
1009,Guntur Chicken,Indian,Non-Vegetarian
1010,Coconut Pancakes,Anglo-Indian,Kid-Friendly
1011,Khara Boondhi for Diwali,Indian,Kid-Friendly
1012,Diced Mushroom Masala with Spring Onions,Indian,Vegetarian
1013,Carrot Koftas In Creamy Float,Indian,Vegetarian
1014,Apple Crumble Pudding,Indian,Kid-Friendly
1015,Aloo Wadi,Indian,Vegetarian
1016,Amruthaphala Coconut Milk Fudge,Indian,Kid-Friendly
1017,Sago Kheer,Indian,Kid-Friendly
1018,Continental Chocolate Fudge Cake,Continental,Festive
1019,Aloo Dum,Indian,Vegetarian
1020,Aloo bonda with brown rice,Indian,Vegetarian
1021,Vegetables in Vinegar,Indian,Vegetarian
1022,Crab Meat Masala,Indian,Non-Vegetarian
1023,Appam with Yeast,Indian,Vegetarian
1024,Andae Ke Lawaze,Indian,Kid-Friendly
1025,Aloo Tamatar Palak,Indian,Vegetarian
1026,Valencian Rice,Continental,Vegetarian
1027,Achari Gobhi,Indian,Vegetarian
1028,Veg Momos,Tibetan,Festive
1029,Mixed Vegetable Casserole,Anglo-Indian,Kid-Friendly
1030,Tripuri Pork Salad,Indian,Non-Vegetarian
1031,Apricot Health Drink,Indian,Vegetarian
1032,Fruit and nut sandwich,American,Kid-Friendly
1033,Grape Milk Shake,Indian,Vegetarian
1034,Appetising Matar Paneer,Indian,Vegetarian
1035,Gundruk and Sinki Soup,Indian,Vegetarian
1036,Aam Ki Gutli,Indian,Kid-Friendly
1037,Apple and plum crumble for kids,Continental,Kid-Friendly
1038,Chinese Spring Rolls,Chinese,Vegetarian
1039,Veg Club Sandwich,Continental,Kid-Friendly
1040,Angel Food Candy,Continental,Festive
1041,Maharastrian Vada Pav,Indian,Vegetarian
1042,Easy Aloo Gobi,Indian,Vegetarian
1043,Aloo Poshto,Indian,Vegetarian
1044,Bhindi Kurkuri,Indian,Vegetarian
1045,Apple Tuna Sandwich,American,Non-Vegetarian
1046,Fried Channa Dal,Indian,Festive
1047,7 Cups Sweet,Indian,Kid-Friendly
1048,Chocolate Burfi,Indian,Festive
1049,Zarda Gane Ras Ka,Indian,Vegetarian
1050,Fruity Glace Icing,Indian,Festive
1051,Walnut Pudding,Indian,Festive
1052,Apple Cider,Indian,Vegetarian
1053,Almond Pudding,Indian,Festive
1054,Urad dal chutney,Indian,Vegetarian
1055,Egg Roll,Indian,Kid-Friendly
1056,Batatya Chya Kachrya,Indian,Vegetarian
1057,Sofyani Pullao,Indian,Non-Vegetarian
1058,Almond Omelette,American,Non-Vegetarian
1059,Veggie Wrap,Continental,Kid-Friendly
1060,Vegetable Pie,Continental,Vegetarian
1061,Peanut Curd chutney,Indian,Festive
1062,Fruit Pooranpoli,Indian,Kid-Friendly
1063,"Apple, Banana and Carrot Halwa",Indian,Kid-Friendly
1064,Unni Appam,Indian,Festive
1065,Apple Tea,Mediterranean,Vegetarian
1066,Udupi Dosa,Indian,Vegetarian
1067,Creamy Prawn Curry with Papaya,Indian,Non-Vegetarian
1068,Vegetables Basket,Indian,Vegetarian
1069,Cold Coffee Crunch,Anglo-Indian,Festive
1070,Yummy Mutton Biryani,Indian,Non-Vegetarian
1071,Vegetable Frankie,Indian,Vegetarian
1072,"Yogurt, Pineapple, Banana Whip",Anglo-Indian,Festive
1073,Maharashtrian Goda (Black) Masala,Indian,Vegetarian
1074,Traditional Omelette Curry,Indian,Non-Vegetarian
1075,Traditional Ven Pongal,Indian,Vegetarian
1076,Yogurt Dip,Indian,Festive
1077,Zucchini and Tomato chutney,Indian,Vegetarian
1078,Tasty Fish Fry,Indian,Non-Vegetarian
1079,Aloo Tikki for Weight Watchers,Indian,Vegetarian
1080,Wheat Pinnie,Indian,Vegetarian
1081,Plain Microwave Chicken Curry,Indian,Non-Vegetarian
1082,Grilled Tomato Pickups,Indian,Kid-Friendly
1083,Vegetable Seekh Kebab,Indian,Vegetarian
1084,Mangai Arachu Kalaki,Indian,Vegetarian
1085,Vatha Kuzambhu,Indian,Vegetarian
1086,Veggie Corn,Indian,Vegetarian
1087,Triple treat chutney,Indian,Vegetarian
